Informazioni cronologiche,Sesso,Quanti anni compi nell'anno corrente 2025?,Qual è l'ultimo titolo di studi che hai conseguito?,Hai mai frequentato un corso universitario o accademico che trattava anche solo in parte di storia medievale?,Regione,Provincia (sigla),Con quali modalità ti informi sul medioevo?,Qual è la tua opinione generale sul medioevo? [Medioevo],Indica la data o il secolo in cui secondo te inizia il medioevo,Perché? Inizio,Indica la data o il secolo in cui secondo te finisce il medioevo,Perché?  Fine, [Feudalesimo],[Superstizione],[Germanico],[Eroico],[Comunale],[Sperimentazione],[Cristiano],[Oscurantismo],[Rinascita],[Decadenza],Quali di questi termini associ più fortemente con la tua idea di medioevo? (Max 5 risposte),[Federico II di Svevia],[Teodorico],[Lorenzo il Magnifico],[Costantino],[Petrarca],[Dante],[Enrico VIII Tudor],[Francesco Hayez],[Leonardo da Vinci],[Martin Lutero],[Giustiniano],[Giotto],[San Francesco],[Sant’Agostino d’Ippona],[Giovanna d’Arco],[Matilde di Canossa],[Carlo Magno],[Riccardo Cuor di Leone],[San Tommaso d’Aquino],[Beato Angelico],Se volessi aggiungere un tuo commento facoltativo su cosa pensi sia il medioevo
28/03/2025 14.15.18,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB,Non mi informo,Parzialmente positiva,V secolo d.C.,"La fine dell'impero romano, o quel che restava in oriente, ha portato diversi cambiamenti nell'ambito geo-politico in europa","Secondo me il 1500 è un secolo di transizione, quindi secondo me si potrebbe considerare medioevo anche il XVI secolo",dopo la scoperta dell'America ci sono diversi cambiamenti che durano alcuni decenni che costituiscono il passaggio a un nuovo periodo storico,4,5,4,2,4,2,2,3,4,3,"Vassalli, Peste, Stato pontificio, Caccia alle streghe, Normanni","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"Si potrebbe definire un periodo di decadenza nella sua prima parte ma ci sono state molte innovazioni, idee e opere artistiche che hanno portato alla rinascita di diverse aree geografiche "
28/03/2025 14.17.37,Donna,18-19,Licenza media,No,Lombardia,MB,Libri,Parzialmente negativa,496 d.C.,caduta impero romano d’occidente ,1492 d.C.,scoperta dell’America ,4,5,4,2,2,2,4,4,3,2,"Vassalli, Invasioni Barbariche, Caccia alle streghe, Crociate, Stato pontificio","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
28/03/2025 14.20.25,Uomo,40-49,Laurea triennale,No,Lombardia,MB,"Libri, Serie TV",Neutrale,nel 476 dc,Secondo l'informazione di storia accade la caduta del impero Romano ,1492 dc,Secondo i libri di storia succede la scoperta dell'America,4,5,2,4,4,4,5,4,2,3,"Caccia alle streghe, Stato pontificio, Crociate, Peste",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 14.21.14,Uomo,20-29,Laurea triennale,No,Liguria,GE,Non mi informo,Parzialmente negativa,476,Caduta impero romano ,1492,Scoperta America,5,5,3,3,5,3,5,5,3,3,"Peste, Caccia alle streghe, Vassalli, Invasioni Barbariche, Crociate","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 14.31.21,Non-Binario,20-29,Diploma di istruzione tecnica,No,Lombardia,mb,Non mi informo,Parzialmente positiva,1000,,1400,,5,5,2,5,2,1,5,1,1,1,"Caccia alle streghe, Crociate, Peste","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 14.40.14,Donna,20-29,Laurea triennale,Sì,Lombardia,MB,"Libri, Serie TV",Parzialmente negativa,476,Caduta dell'impero romano ,1492,Scoperta dell'America,5,4,3,3,4,2,4,3,2,3,"Aratro, Vassalli, Crociate, Peste, Stato pontificio","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 14.41.42,Uomo,20-29,Laurea magistrale,No,Lombardia,MB,Non mi informo,Neutrale,XIII secolo,,XVII,,5,5,1,5,4,1,4,5,1,3,"Caccia alle streghe, Scoperta dell’America, Invasioni Barbariche, Peste, Crociate","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,
28/03/2025 14.53.48,Uomo,20-29,Laurea magistrale,No,Lombardia,MB,Libri,Neutrale,476 d.C.,Caduta impero romano d'occidente,1492,Con la scoperta dell'America inizia la modernità,5,1,4,2,3,3,5,1,2,1,"Aratro, Invasioni Barbariche, Stato pontificio, Repubbliche Marinare, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Più che sul medioevo in sé, ritengo sia utile fare un commento sul fatto che vi sia una percezione sbagliata del medioevo come epoca oscura e di regressione mentre non è così"
28/03/2025 14.55.44,Donna,18-19,Licenza media,No,Lombardia,MB,Non mi informo,Parzialmente positiva,1000,,1492,scoperta america,4,4,1,2,2,5,3,4,5,3,"Peste, Caccia alle streghe, Stato pontificio, Scoperta dell’America, Invenzione della stampa","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
28/03/2025 14.58.12,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,Mb,Libri,Neutrale,476,Caduta impero romano,1492,Scoperta america,3,4,4,2,5,3,4,3,3,3,"Vassalli, Normanni, Editto di Rotari, Caccia alle streghe, Crociate","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 15.02.44,Uomo,20-29,Laurea magistrale,No,Lombardia,MB,"Podcast, Serie TV",Neutrale,V secolo,Indicativamente mi ricordo quattrocento e qualcosa ,XV secolo,Scoperta europea delle Americhe,5,4,2,2,4,3,5,4,3,3,"Crociate, Aratro, Vassalli, Caccia alle streghe, Stato pontificio","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Per certi versi c'è stato un declino sì all'inizio, in diversi campi, e il sistema feudale e lo strapotere della chiesa non sono cose per cui provo particolare simpatia. Tuttavia, è stato anche un periodo di innovazione, anche artisticamente parlando. Non è stato un periodo totalmente oscuro, anche perché è stato molto lungo e un giudizio univoco è difficile da esprimere"
28/03/2025 15.05.37,Uomo,50-59,Diploma di istruzione tecnica,No,Puglia,LE,Libri,Parzialmente positiva,476,Caduta impero romano,1490,Scoperta america,5,4,3,4,2,4,4,5,3,4,"Crociate, Peste, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",É un periodo storico molto importante per l Italia e per il bacino del mediteranneo
28/03/2025 15.12.14,Uomo,20-29,Laurea magistrale,Sì,Lombardia,Mi,"Libri, Wikipedia",Neutrale,V secolo d.C. ,Generalmente si considera la caduta dell'impero romano occidentale. ,1492,"Con la ""scoperta"" dell'America, e successivamente con le guerre civili di religione, inizia l'era moderna. ",5,3,3,4,3,3,5,2,2,2,"Crociate, Stato pontificio, Invenzione della stampa","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 15.19.54,Donna,50-59,Laurea triennale,No,Lombardia,MB,"Libri, Film storici",Parzialmente positiva,1000 d.C.,Reminescenze scolastiche,1500 d.C.,Reminescenze scolastiche ,5,5,3,3,5,3,4,3,4,1,"Stato pontificio, Caccia alle streghe, Vassalli, Aratro, Crociate","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Un periodo ricco e fiorente per l'Italia (nascono le corporazioni, arti e mestieri) ma contraddirorio e travagliato per la Chiesa Cattolica (persecuzioni, oscurantismo)"
28/03/2025 15.33.32,Donna,20-29,Laurea triennale,No,Emilia Romagna,Ra,"Podcast, Serie TV, Non mi informo",Parzialmente positiva,476,Caduta dell’impero romano d’Occidente ,1492,Scoperta dell’America (a livello concettuale),5,5,3,3,1,2,5,4,2,3,"Arabi, Crociate, Stato pontificio, Invasioni Barbariche, Caccia alle streghe","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
28/03/2025 15.33.35,Uomo,20-29,Laurea triennale,No,Lombardia,MI,Serie TV,Neutrale,476,Caduta impero romano d occidente,1453,Caduta impero romano d oriente,5,5,4,4,1,3,4,5,2,4,"Stato pontificio, Caccia alle streghe, Vassalli, Invenzione della stampa, Crociate",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 15.34.05,Uomo,20-29,Laurea triennale,No,Lombardia,MB,"Libri, Podcast",Neutrale,975 cca (le date non sono il mio forte),Deposizione di Romolo Augustolo da parte di Odoacre,XV,Nascita dell’umanesimo ,3,2,4,4,5,5,3,2,4,1,"Arabi, Repubbliche Marinare, Peste, Stato pontificio, Crociate","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Un importante periodo per lo sviluppo della società occidentale e medio-orientale, ricco di arti, scoperte, invenzioni. (Detto tra noi: una figata)"
28/03/2025 15.35.41,Uomo,30-39,Diploma di istruzione tecnica,No,Lombardia,MB ,"Libri, Serie TV",Parzialmente negativa,Negli anni 1000 ,L'apice del impero romano ,Nel 1600,Con l'inizio del rinascimento ,5,5,2,5,3,3,4,2,3,4,"Aratro, Caccia alle streghe, Crociate, Peste, Vassalli",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,Un'epoca oscura dove la vita era difficile almeno che non fossi nato in una famiglia di proprietari terrieri o nobili 
28/03/2025 15.40.21,Donna,30-39,Laurea magistrale,No,Lombardia,MB,Non mi informo,Parzialmente negativa,476 d.c.,,1492,,5,5,2,5,1,1,3,5,1,2,"Aratro, Crociate, Vassalli, Peste","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
28/03/2025 15.41.43,Uomo,20-29,Diploma di istruzione liceale,Sì,Abruzzo,PE,"Libri, Videogiochi, Podcast",Neutrale,476 d.C.,Caduta Impero Romano d'Occidente,1492,Scoperta dell'America,5,4,3,4,3,3,5,4,1,2,"Repubbliche Marinare, Caccia alle streghe, Stato pontificio, Arabi, Peste","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Troppo potere alla Chiesa
28/03/2025 15.45.47,Donna,30-39,Laurea magistrale,No,Lombardia,Mb,"Podcast, Serie TV",Parzialmente negativa,Anno 152 dc,Deposizione dell'imperatore Romolo Augustolo,1452,Scoperta dell'America ,3,3,2,1,3,1,3,2,2,2,"Crociate, Peste, Caccia alle streghe, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Un periodo storico convenzionalmente definito dagli storici per sistematizzare lo studio della storia
28/03/2025 15.49.19,Donna,50-59,Laurea triennale,No,Liguria,Im,"Libri, Serie TV",Parzialmente negativa,V secolo d.c.,Caduta dell'impero romano ,1400,Perché dopo comincia il rinascimento ,3,3,2,2,2,1,2,3,1,2,"Editto di Rotari, Vassalli, Caccia alle streghe, Peste, Invasioni Barbariche","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 15.55.46,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB,"Libri, Serie TV",Neutrale,500 d.C.,,1500 d.C.,Dopo la scoperta dell’America,4,5,3,2,1,4,5,5,5,1,"Peste, Caccia alle streghe, Stato pontificio, Crociate","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 15.57.40,Uomo,40-49,Licenza media,No,Lombardia,Monza e Brianza ,Serie TV,Parzialmente negativa,463 d.c.,Caduta dell’impero romano ,1600 d.c.,Inizia l’età moderna,5,5,4,5,4,2,5,1,3,3,"Normanni, Crociate, Caccia alle streghe, Arabi, Vassalli","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 16.06.52,Uomo,60-69,Diploma di istruzione tecnica,No,Lombardia,I,Serie TV,Parzialmente negativa,5 / 6 secolo dopo Cristo,,1492,,1,2,1,2,1,2,1,2,2,2,"Invasioni Barbariche, Normanni, Ungari, Crociate, Peste","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale",
28/03/2025 16.08.05,Uomo,20-29,Laurea triennale,No,Lombardia,MB,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Parzialmente positiva,476,Caduta dell'Impero ,Sedicesimo secolo,Assestamento delle monarchie secolari in occidente e delle migrazioni in Europa ,5,4,2,3,3,3,4,3,2,4,"Invasioni Barbariche, Peste, Vassalli, Aratro, Crociate","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Il medioevo, così come molti altri periodi storici a cui è stato dato un nome, bisogna ricordare che si è svolto non contemporaneamente per diversi regni e città. La concezione di medioevo inoltre può applicarsi a determinate regioni europee anche a fasi alterne, non mantendo una continuità relativa al periodo storico."
28/03/2025 16.10.02,Uomo,20-29,Laurea triennale,No,Lombardia,Mi,Non mi informo,Parzialmente negativa,1000,,1600,Con l'illuminismo ,4,5,4,2,3,2,5,5,2,3,"Peste, Caccia alle streghe, Stato pontificio, Crociate",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",
28/03/2025 16.10.37,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,Mi,"Libri, Serie TV",Neutrale,VII secolo,Caduta impero romano occidentale ,1492,Scoperta dell'america,5,5,2,4,3,1,4,4,3,2,"Peste, Vassalli, Crociate, Caccia alle streghe","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
28/03/2025 16.11.09,Uomo,20-29,Laurea triennale,No,Lombardia,MI,Libri,Neutrale,4 secolo dopo cristo,Caduta impero romano d’Occidente,15 secolo,Scoperta America ,4,4,3,3,4,2,4,4,2,3,"Invasioni Barbariche, Vassalli, Invenzione della stampa, Peste, Crociate","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 16.11.32,Uomo,20-29,Laurea triennale,No,Piemonte,VB,Videogiochi,Parzialmente positiva,476,Caduta impero romano,1492,Scoperta America,4,5,3,4,3,3,5,1,2,2,"Crociate, Scoperta dell’America, Caccia alle streghe, Peste",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 16.15.13,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB,Non mi informo,Neutrale,476,Fine impero romano,1492,"Scoperta america, anche se credo sia più simbolico che altro",5,4,4,4,4,3,5,3,3,3,"Vassalli, Peste, Stato pontificio, Aratro, Crociate","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",
28/03/2025 16.30.44,Uomo,30-39,Laurea magistrale,Sì,Lombardia,MB,"Libri, Podcast",Assolutamente positiva,476 d. C. ,Per la caduta dell'Impero romano d'Occidente,12 ottobre 1492,Colombo arriva in America,5,1,3,4,4,5,4,1,5,1,"Crociate, Arabi, Normanni, Invasioni Barbariche, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Chi ama la storia non può non amare il Medioevo 
28/03/2025 16.41.00,Uomo,50-59,Licenza media,No,Lombardia,MB ,Libri,Assolutamente positiva,Intorno al '500,Cade l'impero romano d' occidente,Intorno al1600,Inizia la monarchia,5,5,5,5,1,5,5,1,5,5,"Caccia alle streghe, Peste, Stato pontificio, Repubbliche Marinare, Crociate","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Sanguinoso ma importante 
28/03/2025 16.51.00,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,MB,Libri,Neutrale,Intorno al 476  ,A Causa della caduta dell' impero Romano d'Occidente ,Circa 1500,Ci fu la scoperta dell' america,4,5,1,2,1,2,5,3,3,3,"Crociate, Arabi, Peste, Vassalli, Editto di Rotari","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Svuotamento servizi igienici tramite defenestrazione. Che schifo.
28/03/2025 16.51.34,Donna,50-59,Diploma di istruzione tecnica,No,Lombardia,MB,Libri,Parzialmente positiva,500,Caduta dell'impero romano d'Occidente ,1400-1500,Con le grandi scoperte ,5,3,3,3,1,1,5,3,1,4,"Aratro, Crociate, Editto di Rotari, Vassalli, Peste","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Periodo importante ma crudele e malsano 
28/03/2025 17.00.01,Uomo,20-29,Diploma di istruzione tecnica,No,Lombardia,MI,Videogiochi,Parzialmente negativa,476,Cade l'impero romano d'occidente,1500,"Imperi coloniali, scoperta dell'america",5,5,4,5,2,3,5,3,3,2,"Invenzione della stampa, Stato pontificio, Caccia alle streghe, Crociate, Scoperta dell’America","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Un periodo storico di forte evoluzione che però ha anche evidenziato tratti della natura umana molto negativi per colpa dell'ignoranza e della religione e che quasi va eclissare gli avvenimenti positivi che ha portato il periodo
28/03/2025 17.02.41,Uomo,60-69,Diploma di istruzione liceale,No,Lombardia,MI,"Libri, Serie TV, Wikipedia",Neutrale,476,Perché inizia alla caduta dell' impero romane d'occidente,1492,Con la scoperta dell' America,5,4,3,3,4,3,3,2,3,3,"Vassalli, Caccia alle streghe, Crociate, Repubbliche Marinare, Stato pontificio","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Un periodo di transizione, governato da pochi a causa di una diffusa ignoranza"
